
Spine Intensity Max Ch=1 Img=1
 ==================== 
Spine Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
33,,Spine,1,2,Image 1,3,1,100000002,610000001343,
33,,Spine,1,2,Image 1,3,1,100000002,610000001354,
3,,Spine,1,1,Image 1,1,1,100000002,610000001363,
6,,Spine,1,2,Image 1,3,1,100000002,610000001367,
5,,Spine,1,6,Image 1,2,1,100000000,610000001371,
4,,Spine,1,6,Image 1,3,1,100000000,610000001375,
3,,Spine,1,6,Image 1,2,1,100000000,610000001378,
11,,Spine,1,0,Image 1,1,1,100000002,610000001381,
3,,Spine,1,1,Image 1,1,1,100000002,610000001389,
2,,Spine,1,0,Image 1,1,1,100000001,610000001391,
8,,Spine,1,2,Image 1,1,1,100000001,610000001395,
3,,Spine,1,1,Image 1,1,1,100000002,610000001401,
64,,Spine,1,1,Image 1,1,1,100000000,610000001407,
3,,Spine,1,2,Image 1,1,1,100000001,610000001412,
7,,Spine,1,1,Image 1,1,1,100000002,610000001415,
6,,Spine,1,6,Image 1,2,1,100000000,610000001419,
4,,Spine,1,2,Image 1,1,1,100000001,610000001423,
4,,Spine,1,6,Image 1,2,1,100000000,610000001426,
6,,Spine,1,3,Image 1,1,1,100000000,610000001429,
6,,Spine,1,6,Image 1,2,1,100000000,610000001431,
25,,Spine,1,2,Image 1,1,1,100000001,610000001433,
64,,Spine,1,1,Image 1,1,1,100000000,610000001437,
4,,Spine,1,6,Image 1,2,1,100000000,610000001439,
36,,Spine,1,1,Image 1,1,1,100000002,610000001444,
2,,Spine,1,2,Image 1,1,1,100000001,610000001448,
32,,Spine,1,2,Image 1,2,1,100000002,610000001450,
11,,Spine,1,2,Image 1,1,1,100000001,610000001452,
3,,Spine,1,6,Image 1,2,1,100000000,610000001454,
4,,Spine,1,6,Image 1,2,1,100000000,610000001456,
25,,Spine,1,1,Image 1,1,1,100000002,610000001461,
29,,Spine,1,2,Image 1,3,1,100000002,610000001463,
9,,Spine,1,2,Image 1,1,1,100000001,610000001466,
7,,Spine,1,3,Image 1,1,1,100000000,610000001469,
3,,Spine,1,6,Image 1,3,1,100000001,610000001471,
3,,Spine,1,1,Image 1,1,1,100000002,610000001475,
4,,Spine,1,6,Image 1,2,1,100000000,610000001479,
64,,Spine,1,1,Image 1,1,1,100000000,610000001482,
12,,Spine,1,2,Image 1,1,1,100000001,610000001485,
26,,Spine,1,0,Image 1,1,1,100000000,610000001487,
10,,Spine,1,2,Image 1,1,1,100000000,610000001490,
3,,Spine,1,2,Image 1,1,1,100000001,610000001493,
35,,Spine,1,0,Image 1,1,1,100000000,610000001496,
5,,Spine,1,6,Image 1,2,1,100000000,610000001500,
31,,Spine,1,1,Image 1,1,1,100000000,610000001505,
100,,Spine,1,8,Image 1,5,1,100000001,610000001509,
3,,Spine,1,2,Image 1,1,1,100000001,610000001514,
31,,Spine,1,2,Image 1,1,1,100000001,610000001516,
3,,Spine,1,1,Image 1,1,1,100000002,610000001522,
4,,Spine,1,1,Image 1,1,1,100000002,610000001525,
9,,Spine,1,2,Image 1,1,1,100000000,610000001527,
27,,Spine,1,0,Image 1,1,1,100000001,610000001531,
4,,Spine,1,10,Image 1,4,1,100000001,610000001536,
34,,Spine,1,1,Image 1,1,1,100000002,610000001538,
19,,Spine,1,2,Image 1,1,1,100000001,610000001544,
4,,Spine,1,6,Image 1,3,1,100000000,610000001547,
2,,Spine,1,5,Image 1,2,1,100000001,610000001556,
5,,Spine,1,6,Image 1,2,1,100000000,610000001561,
10,,Spine,1,6,Image 1,2,1,100000000,610000001581,
45,,Spine,1,6,Image 1,2,1,100000000,610000001582,
4,,Spine,1,5,Image 1,2,1,100000000,610000001583,
4,,Spine,1,5,Image 1,2,1,100000000,610000001584,
41,,Spine,1,4,Image 1,3,1,100000000,610000001585,
23,,Spine,1,4,Image 1,3,1,100000000,610000001586,
12,,Spine,1,3,Image 1,1,1,100000000,610000001587,
5,,Spine,1,2,Image 1,2,1,100000000,610000001588,
16,,Spine,1,0,Image 1,1,1,100000000,610000001589,
6,,Spine,1,0,Image 1,1,1,100000000,610000001590,
7,,Spine,1,0,Image 1,1,1,100000000,610000001591,
10,,Spine,1,0,Image 1,1,1,100000000,610000001592,
6,,Spine,1,0,Image 1,1,1,100000000,610000001593,
5,,Spine,1,0,Image 1,1,1,100000000,610000001594,
2,,Spine,1,9,Image 1,4,1,100000001,610000001605,
9,,Spine,1,8,Image 1,4,1,100000001,610000001606,
3,,Spine,1,4,Image 1,1,1,100000001,610000001607,
8,,Spine,1,7,Image 1,4,1,100000001,610000001608,
4,,Spine,1,10,Image 1,4,1,100000001,610000001609,
4,,Spine,1,5,Image 1,2,1,100000001,610000001610,
3,,Spine,1,5,Image 1,2,1,100000001,610000001611,
93,,Spine,1,5,Image 1,3,1,100000001,610000001612,
21,,Spine,1,4,Image 1,2,1,100000001,610000001613,
3,,Spine,1,3,Image 1,1,1,100000001,610000001614,
3,,Spine,1,3,Image 1,1,1,100000001,610000001615,
3,,Spine,1,3,Image 1,1,1,100000001,610000001616,
3,,Spine,1,3,Image 1,1,1,100000001,610000001617,
3,,Spine,1,2,Image 1,1,1,100000001,610000001618,
3,,Spine,1,2,Image 1,1,1,100000001,610000001619,
3,,Spine,1,0,Image 1,1,1,100000001,610000001620,
7,,Spine,1,2,Image 1,3,1,100000002,610000001631,
4,,Spine,1,1,Image 1,1,1,100000002,610000001640,
7,,Spine,1,1,Image 1,1,1,100000002,610000001641,
