
Spine Number of Voxel Ch=2 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
128,,Spine,2,2,Image 1,3,1,100000002,610000001343,
98,,Spine,2,2,Image 1,3,1,100000002,610000001354,
279,,Spine,2,1,Image 1,1,1,100000002,610000001363,
75,,Spine,2,2,Image 1,3,1,100000002,610000001367,
307,,Spine,2,6,Image 1,2,1,100000000,610000001371,
223,,Spine,2,6,Image 1,3,1,100000000,610000001375,
388,,Spine,2,6,Image 1,2,1,100000000,610000001378,
188,,Spine,2,0,Image 1,1,1,100000002,610000001381,
253,,Spine,2,1,Image 1,1,1,100000002,610000001389,
56,,Spine,2,0,Image 1,1,1,100000001,610000001391,
467,,Spine,2,2,Image 1,1,1,100000001,610000001395,
160,,Spine,2,1,Image 1,1,1,100000002,610000001401,
1975,,Spine,2,1,Image 1,1,1,100000000,610000001407,
122,,Spine,2,2,Image 1,1,1,100000001,610000001412,
95,,Spine,2,1,Image 1,1,1,100000002,610000001415,
650,,Spine,2,6,Image 1,2,1,100000000,610000001419,
214,,Spine,2,2,Image 1,1,1,100000001,610000001423,
260,,Spine,2,6,Image 1,2,1,100000000,610000001426,
132,,Spine,2,3,Image 1,1,1,100000000,610000001429,
372,,Spine,2,6,Image 1,2,1,100000000,610000001431,
119,,Spine,2,2,Image 1,1,1,100000001,610000001433,
1462,,Spine,2,1,Image 1,1,1,100000000,610000001437,
148,,Spine,2,6,Image 1,2,1,100000000,610000001439,
250,,Spine,2,1,Image 1,1,1,100000002,610000001444,
94,,Spine,2,2,Image 1,1,1,100000001,610000001448,
117,,Spine,2,2,Image 1,2,1,100000002,610000001450,
588,,Spine,2,2,Image 1,1,1,100000001,610000001452,
94,,Spine,2,6,Image 1,2,1,100000000,610000001454,
264,,Spine,2,6,Image 1,2,1,100000000,610000001456,
220,,Spine,2,1,Image 1,1,1,100000002,610000001461,
56,,Spine,2,2,Image 1,3,1,100000002,610000001463,
143,,Spine,2,2,Image 1,1,1,100000001,610000001466,
290,,Spine,2,3,Image 1,1,1,100000000,610000001469,
62,,Spine,2,6,Image 1,3,1,100000001,610000001471,
125,,Spine,2,1,Image 1,1,1,100000002,610000001475,
403,,Spine,2,6,Image 1,2,1,100000000,610000001479,
1418,,Spine,2,1,Image 1,1,1,100000000,610000001482,
33,,Spine,2,2,Image 1,1,1,100000001,610000001485,
371,,Spine,2,0,Image 1,1,1,100000000,610000001487,
403,,Spine,2,2,Image 1,1,1,100000000,610000001490,
56,,Spine,2,2,Image 1,1,1,100000001,610000001493,
282,,Spine,2,0,Image 1,1,1,100000000,610000001496,
170,,Spine,2,6,Image 1,2,1,100000000,610000001500,
1348,,Spine,2,1,Image 1,1,1,100000000,610000001505,
138,,Spine,2,8,Image 1,5,1,100000001,610000001509,
87,,Spine,2,2,Image 1,1,1,100000001,610000001514,
67,,Spine,2,2,Image 1,1,1,100000001,610000001516,
95,,Spine,2,1,Image 1,1,1,100000002,610000001522,
169,,Spine,2,1,Image 1,1,1,100000002,610000001525,
352,,Spine,2,2,Image 1,1,1,100000000,610000001527,
164,,Spine,2,0,Image 1,1,1,100000001,610000001531,
106,,Spine,2,10,Image 1,4,1,100000001,610000001536,
224,,Spine,2,1,Image 1,1,1,100000002,610000001538,
36,,Spine,2,2,Image 1,1,1,100000001,610000001544,
157,,Spine,2,6,Image 1,3,1,100000000,610000001547,
101,,Spine,2,5,Image 1,2,1,100000001,610000001556,
442,,Spine,2,6,Image 1,2,1,100000000,610000001561,
200,,Spine,2,6,Image 1,2,1,100000000,610000001581,
160,,Spine,2,6,Image 1,2,1,100000000,610000001582,
111,,Spine,2,5,Image 1,2,1,100000000,610000001583,
132,,Spine,2,5,Image 1,2,1,100000000,610000001584,
78,,Spine,2,4,Image 1,3,1,100000000,610000001585,
152,,Spine,2,4,Image 1,3,1,100000000,610000001586,
208,,Spine,2,3,Image 1,1,1,100000000,610000001587,
111,,Spine,2,2,Image 1,2,1,100000000,610000001588,
124,,Spine,2,0,Image 1,1,1,100000000,610000001589,
143,,Spine,2,0,Image 1,1,1,100000000,610000001590,
183,,Spine,2,0,Image 1,1,1,100000000,610000001591,
205,,Spine,2,0,Image 1,1,1,100000000,610000001592,
260,,Spine,2,0,Image 1,1,1,100000000,610000001593,
211,,Spine,2,0,Image 1,1,1,100000000,610000001594,
97,,Spine,2,9,Image 1,4,1,100000001,610000001605,
71,,Spine,2,8,Image 1,4,1,100000001,610000001606,
188,,Spine,2,4,Image 1,1,1,100000001,610000001607,
209,,Spine,2,7,Image 1,4,1,100000001,610000001608,
75,,Spine,2,10,Image 1,4,1,100000001,610000001609,
164,,Spine,2,5,Image 1,2,1,100000001,610000001610,
124,,Spine,2,5,Image 1,2,1,100000001,610000001611,
68,,Spine,2,5,Image 1,3,1,100000001,610000001612,
95,,Spine,2,4,Image 1,2,1,100000001,610000001613,
114,,Spine,2,3,Image 1,1,1,100000001,610000001614,
104,,Spine,2,3,Image 1,1,1,100000001,610000001615,
112,,Spine,2,3,Image 1,1,1,100000001,610000001616,
117,,Spine,2,3,Image 1,1,1,100000001,610000001617,
102,,Spine,2,2,Image 1,1,1,100000001,610000001618,
244,,Spine,2,2,Image 1,1,1,100000001,610000001619,
79,,Spine,2,0,Image 1,1,1,100000001,610000001620,
47,,Spine,2,2,Image 1,3,1,100000002,610000001631,
178,,Spine,2,1,Image 1,1,1,100000002,610000001640,
86,,Spine,2,1,Image 1,1,1,100000002,610000001641,
