
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.362433,µm,Spine,Spine Part Mean Diameter,10,4,1,100000000,610000002522,
0.247092,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000002525,
0.491614,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000002530,
0.248036,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000002532,
0.462338,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000002539,
0.345646,µm,Spine,Spine Part Mean Diameter,2,1,1,100000001,610000002545,
0.40342,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000002553,
0.271403,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000002558,
0.515348,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002564,
0.251552,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000002567,
0.363409,µm,Spine,Spine Part Mean Diameter,6,3,1,100000000,610000002572,
0.251552,µm,Spine,Spine Part Mean Diameter,2,2,1,100000001,610000002575,
0.394102,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000002582,
0.271159,µm,Spine,Spine Part Mean Diameter,14,7,1,100000000,610000002586,
0.363409,µm,Spine,Spine Part Mean Diameter,6,3,1,100000000,610000002592,
0.215072,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000002598,
0.442106,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000002603,
0.394102,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000002609,
0.5204,µm,Spine,Spine Part Mean Diameter,1,1,1,100000001,610000002614,
0.290505,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000002624,
0.341564,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000002628,
0.292113,µm,Spine,Spine Part Mean Diameter,9,4,1,100000000,610000002630,
0.46033,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000002634,
0.310315,µm,Spine,Spine Part Mean Diameter,4,2,1,100000001,610000002636,
