
Segment Center Intensity Mean Ch=2 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
20.5484,,Segment,2,7,Image 1,5,1,100000000,510000000032,
36.8,,Segment,2,5,Image 1,4,1,100000000,510000000037,
25.2075,,Segment,2,4,Image 1,4,1,100000000,510000000089,
37.8333,,Segment,2,3,Image 1,3,1,100000000,510000000100,
39.9655,,Segment,2,2,Image 1,2,1,100000000,510000000128,
43,,Segment,2,1,Image 1,1,1,100000000,510000000137,
74.3333,,Segment,2,0,Image 1,1,1,100000000,510000000152,
25,,Segment,2,6,Image 1,5,1,100000000,510000000159,
26,,Segment,2,7,Image 1,4,1,100000000,510000000161,
23.5,,Segment,2,6,Image 1,6,1,100000000,510000000164,
33.4286,,Segment,2,5,Image 1,5,1,100000000,510000000170,
48.8333,,Segment,2,7,Image 1,3,1,100000000,510000000194,
15.5714,,Segment,2,6,Image 1,3,1,100000000,510000000207,
33,,Segment,2,5,Image 1,3,1,100000000,510000000245,
48.5,,Segment,2,4,Image 1,3,1,100000000,510000000254,
51.6,,Segment,2,3,Image 1,2,1,100000000,510000000258,
40.95,,Segment,2,2,Image 1,2,1,100000000,510000000277,
21.4667,,Segment,2,1,Image 1,2,1,100000000,510000000321,
47,,Segment,2,0,Image 1,1,1,100000000,510000000379,
38.75,,Segment,2,7,Image 1,4,1,100000000,510000000393,
34,,Segment,2,6,Image 1,4,1,100000000,510000000399,
32.6667,,Segment,2,5,Image 1,4,1,100000000,510000000401,
45.1429,,Segment,2,4,Image 1,2,1,100000000,510000000407,
46.5,,Segment,2,3,Image 1,3,1,100000000,510000000412,
32.5,,Segment,2,2,Image 1,3,1,100000000,510000000419,
32.8182,,Segment,2,3,Image 1,2,1,100000000,510000000429,
48.2745,,Segment,2,2,Image 1,2,1,100000000,510000000479,
22.9111,,Segment,2,1,Image 1,1,1,100000000,510000000523,
47.0714,,Segment,2,0,Image 1,1,1,100000000,510000000552,
