
Segment Center Intensity StdDev Ch=1 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
8.12878,,Segment,1,7,Image 1,5,1,100000000,510000000032,
0.748331,,Segment,1,5,Image 1,4,1,100000000,510000000037,
14.8329,,Segment,1,4,Image 1,4,1,100000000,510000000089,
2.25308,,Segment,1,3,Image 1,3,1,100000000,510000000100,
1.59741,,Segment,1,2,Image 1,2,1,100000000,510000000128,
1.34536,,Segment,1,1,Image 1,1,1,100000000,510000000137,
0.957427,,Segment,1,0,Image 1,1,1,100000000,510000000152,
1.0198,,Segment,1,6,Image 1,5,1,100000000,510000000159,
0.471405,,Segment,1,7,Image 1,4,1,100000000,510000000161,
1.58114,,Segment,1,6,Image 1,6,1,100000000,510000000164,
1.29363,,Segment,1,5,Image 1,5,1,100000000,510000000170,
4.59393,,Segment,1,7,Image 1,3,1,100000000,510000000194,
0.979379,,Segment,1,6,Image 1,3,1,100000000,510000000207,
1.44503,,Segment,1,5,Image 1,3,1,100000000,510000000245,
1.46969,,Segment,1,4,Image 1,3,1,100000000,510000000254,
1.0198,,Segment,1,3,Image 1,2,1,100000000,510000000258,
1.68152,,Segment,1,2,Image 1,2,1,100000000,510000000277,
3.60247,,Segment,1,1,Image 1,2,1,100000000,510000000321,
2.99262,,Segment,1,0,Image 1,1,1,100000000,510000000379,
0.5,,Segment,1,7,Image 1,4,1,100000000,510000000393,
0.728431,,Segment,1,6,Image 1,4,1,100000000,510000000399,
0.471405,,Segment,1,5,Image 1,4,1,100000000,510000000401,
1.04978,,Segment,1,4,Image 1,2,1,100000000,510000000407,
0.942809,,Segment,1,3,Image 1,3,1,100000000,510000000412,
1.57619,,Segment,1,2,Image 1,3,1,100000000,510000000419,
2.34609,,Segment,1,3,Image 1,2,1,100000000,510000000429,
6.37077,,Segment,1,2,Image 1,2,1,100000000,510000000479,
5.07494,,Segment,1,1,Image 1,1,1,100000000,510000000523,
26.4269,,Segment,1,0,Image 1,1,1,100000000,510000000552,
2.13542,,Segment,1,3,Image 1,3,1,100000000,510000000584,
