
Segment Intensity Mean Ch=1 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6.98649,,Segment,1,7,Image 1,5,1,100000000,510000000032,
1.60985,,Segment,1,5,Image 1,4,1,100000000,510000000037,
8.1555,,Segment,1,4,Image 1,4,1,100000000,510000000089,
3.83401,,Segment,1,3,Image 1,3,1,100000000,510000000100,
3.27818,,Segment,1,2,Image 1,2,1,100000000,510000000128,
2.23312,,Segment,1,1,Image 1,1,1,100000000,510000000137,
1.64605,,Segment,1,0,Image 1,1,1,100000000,510000000152,
1.48018,,Segment,1,6,Image 1,5,1,100000000,510000000159,
1.54455,,Segment,1,7,Image 1,4,1,100000000,510000000161,
1.96667,,Segment,1,6,Image 1,6,1,100000000,510000000164,
1.35094,,Segment,1,5,Image 1,5,1,100000000,510000000170,
7.22814,,Segment,1,7,Image 1,3,1,100000000,510000000194,
1.5461,,Segment,1,6,Image 1,3,1,100000000,510000000207,
1.41087,,Segment,1,5,Image 1,3,1,100000000,510000000245,
1.53763,,Segment,1,4,Image 1,3,1,100000000,510000000254,
1.89076,,Segment,1,3,Image 1,2,1,100000000,510000000258,
2.34483,,Segment,1,2,Image 1,2,1,100000000,510000000277,
4.12091,,Segment,1,1,Image 1,2,1,100000000,510000000321,
4.02039,,Segment,1,0,Image 1,1,1,100000000,510000000379,
1.66316,,Segment,1,7,Image 1,4,1,100000000,510000000393,
0.469388,,Segment,1,6,Image 1,4,1,100000000,510000000399,
1.49425,,Segment,1,5,Image 1,4,1,100000000,510000000401,
1.93031,,Segment,1,4,Image 1,2,1,100000000,510000000407,
1.93103,,Segment,1,3,Image 1,3,1,100000000,510000000412,
2.04698,,Segment,1,2,Image 1,3,1,100000000,510000000419,
5.22436,,Segment,1,3,Image 1,2,1,100000000,510000000429,
7.05058,,Segment,1,2,Image 1,2,1,100000000,510000000479,
5.38359,,Segment,1,1,Image 1,1,1,100000000,510000000523,
13.5924,,Segment,1,0,Image 1,1,1,100000000,510000000552,
5.20455,,Segment,1,3,Image 1,3,1,100000000,510000000584,
15.4895,,Segment,1,2,Image 1,1,1,100000000,510000000588,
4.08852,,Segment,1,1,Image 1,2,1,100000001,510000000654,
3.42308,,Segment,1,0,Image 1,1,1,100000001,510000000723,
1.5,,Segment,1,5,Image 1,1,1,100000001,510000000739,
12.82,,Segment,1,4,Image 1,1,1,100000001,510000000744,
2.69524,,Segment,1,3,Image 1,1,1,100000001,510000000760,
1.15361,,Segment,1,2,Image 1,1,1,100000001,510000000766,
1.77419,,Segment,1,5,Image 1,2,1,100000001,510000000770,
9.98305,,Segment,1,4,Image 1,2,1,100000001,510000000775,
1.90377,,Segment,1,3,Image 1,2,1,100000001,510000000782,
1.09459,,Segment,1,2,Image 1,2,1,100000001,510000000785,
5.29126,,Segment,1,9,Image 1,5,1,100000000,510000000794,
2.20438,,Segment,1,8,Image 1,4,1,100000000,510000000804,
2.3388,,Segment,1,7,Image 1,3,1,100000000,510000000807,
2.43125,,Segment,1,6,Image 1,3,1,100000000,510000000810,
10.2549,,Segment,1,5,Image 1,2,1,100000000,510000000825,
5.44487,,Segment,1,4,Image 1,2,1,100000000,510000000835,
7.62048,,Segment,1,3,Image 1,2,1,100000000,510000000839,
3.39196,,Segment,1,2,Image 1,1,1,100000000,510000000841,
2.26471,,Segment,1,1,Image 1,1,1,100000000,510000000843,
2.37336,,Segment,1,0,Image 1,1,1,100000000,510000000895,
5.04181,,Segment,1,7,Image 1,2,1,100000000,510000000914,
3.78977,,Segment,1,6,Image 1,2,1,100000000,510000000922,
2.24031,,Segment,1,9,Image 1,4,1,100000000,510000000926,
2.13995,,Segment,1,7,Image 1,4,1,100000000,510000000946,
3.74,,Segment,1,7,Image 1,3,1,100000000,510000000950,
2.22353,,Segment,1,8,Image 1,3,1,100000000,510000000953,
7.35028,,Segment,1,4,Image 1,3,1,100000000,510000000960,
8.24747,,Segment,1,3,Image 1,2,1,100000000,510000000964,
13.0293,,Segment,1,2,Image 1,2,1,100000002,510000000979,
10.1084,,Segment,1,1,Image 1,1,1,100000002,510000000994,
3.47706,,Segment,1,0,Image 1,1,1,100000002,510000001045,
1.94048,,Segment,1,3,Image 1,2,1,100000002,510000001070,
5.18421,,Segment,1,2,Image 1,1,1,100000002,510000001081,
2.02976,,Segment,1,3,Image 1,1,1,100000002,510000001088,
3.00633,,Segment,1,1,Image 1,2,1,100000002,510000001094,
2.18182,,Segment,1,5,Image 1,4,1,100000000,510000001099,
10.7995,,Segment,1,4,Image 1,3,1,100000000,510000001137,
2.98661,,Segment,1,5,Image 1,3,1,100000000,510000001139,
7.37895,,Segment,1,3,Image 1,2,1,100000002,510000001148,
1.98723,,Segment,1,2,Image 1,1,1,100000002,510000001161,
2.86721,,Segment,1,1,Image 1,1,1,100000002,510000001177,
3.66412,,Segment,1,0,Image 1,1,1,100000002,510000001201,
2.86667,,Segment,1,3,Image 1,2,1,100000000,510000001205,
20.8659,,Segment,1,2,Image 1,1,1,100000000,510000001225,
4.16319,,Segment,1,1,Image 1,1,1,100000000,510000001234,
2.24767,,Segment,1,4,Image 1,1,1,100000000,510000001282,
4.44337,,Segment,1,3,Image 1,1,1,100000000,510000001310,
3.32663,,Segment,1,3,Image 1,3,1,100000000,510000001365,
7.00524,,Segment,1,2,Image 1,2,1,100000000,510000001369,
5.05485,,Segment,1,1,Image 1,2,1,100000000,510000001373,
1.74964,,Segment,1,0,Image 1,1,1,100000000,510000001400,
13.218,,Segment,1,3,Image 1,1,1,100000001,510000001440,
9.74635,,Segment,1,2,Image 1,1,1,100000001,510000001464,
3.54106,,Segment,1,1,Image 1,1,1,100000001,510000001472,
2.07656,,Segment,1,0,Image 1,1,1,100000001,510000001518,
4.50893,,Segment,1,3,Image 1,1,1,100000000,510000001520,
2.63415,,Segment,1,3,Image 1,1,1,100000002,510000001523,
1.54804,,Segment,1,2,Image 1,2,1,100000002,510000001540,
5.08725,,Segment,1,2,Image 1,2,1,100000000,510000001548,
5.18978,,Segment,1,4,Image 1,3,1,100000000,510000001553,
3.08808,,Segment,1,3,Image 1,3,1,100000000,510000001569,
2.11348,,Segment,1,2,Image 1,3,1,100000000,510000001588,
1.64415,,Segment,1,1,Image 1,2,1,100000000,510000001600,
2.57,,Segment,1,4,Image 1,2,1,100000000,510000001603,
3.27168,,Segment,1,4,Image 1,4,1,100000000,510000001609,
9.39489,,Segment,1,3,Image 1,2,1,100000001,510000001626,
5.26217,,Segment,1,2,Image 1,2,1,100000001,510000001643,
24.9481,,Segment,1,5,Image 1,3,1,100000000,510000001645,
5.29524,,Segment,1,1,Image 1,2,1,100000002,510000001647,
8.65065,,Segment,1,0,Image 1,1,1,100000002,510000001669,
2.12929,,Segment,1,1,Image 1,2,1,100000001,510000001687,
2.90805,,Segment,1,3,Image 1,4,1,100000000,510000001690,
2.3972,,Segment,1,3,Image 1,3,1,100000000,510000001700,
1.96796,,Segment,1,2,Image 1,2,1,100000000,510000001714,
2.08683,,Segment,1,1,Image 1,2,1,100000000,510000001722,
13.2589,,Segment,1,2,Image 1,3,1,100000000,510000001729,
6.75159,,Segment,1,2,Image 1,2,1,100000000,510000001732,
2.14179,,Segment,1,3,Image 1,2,1,100000000,510000001734,
6.99628,,Segment,1,3,Image 1,2,1,100000000,510000001738,
7.70625,,Segment,1,1,Image 1,1,1,100000000,510000001744,
5.66875,,Segment,1,3,Image 1,1,1,100000000,510000001747,
17.3212,,Segment,1,3,Image 1,2,1,100000000,510000001751,
2.89535,,Segment,1,1,Image 1,2,1,100000000,510000001754,
8.37011,,Segment,1,2,Image 1,2,1,100000000,510000001758,
13.669,,Segment,1,2,Image 1,2,1,100000000,510000001760,
2.74783,,Segment,1,2,Image 1,1,1,100000000,510000001762,
1.15789,,Segment,1,0,Image 1,1,1,100000002,510000001786,
1.34722,,Segment,1,0,Image 1,1,1,100000000,510000001789,
1.65854,,Segment,1,6,Image 1,4,1,100000000,510000001873,
1.91549,,Segment,1,6,Image 1,5,1,100000000,510000001874,
9.4058,,Segment,1,2,Image 1,1,1,100000000,510000001876,
1.54378,,Segment,1,1,Image 1,1,1,100000001,510000001878,
