
Segment Intensity Min Ch=2 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
1,,Segment,2,7,Image 1,5,1,100000000,510000000032,
4,,Segment,2,5,Image 1,4,1,100000000,510000000037,
0,,Segment,2,4,Image 1,4,1,100000000,510000000089,
3,,Segment,2,3,Image 1,3,1,100000000,510000000100,
1,,Segment,2,2,Image 1,2,1,100000000,510000000128,
1,,Segment,2,1,Image 1,1,1,100000000,510000000137,
10,,Segment,2,0,Image 1,1,1,100000000,510000000152,
1,,Segment,2,6,Image 1,5,1,100000000,510000000159,
1,,Segment,2,7,Image 1,4,1,100000000,510000000161,
8,,Segment,2,6,Image 1,6,1,100000000,510000000164,
1,,Segment,2,5,Image 1,5,1,100000000,510000000170,
4,,Segment,2,7,Image 1,3,1,100000000,510000000194,
2,,Segment,2,6,Image 1,3,1,100000000,510000000207,
0,,Segment,2,5,Image 1,3,1,100000000,510000000245,
2,,Segment,2,4,Image 1,3,1,100000000,510000000254,
10,,Segment,2,3,Image 1,2,1,100000000,510000000258,
2,,Segment,2,2,Image 1,2,1,100000000,510000000277,
0,,Segment,2,1,Image 1,2,1,100000000,510000000321,
1,,Segment,2,0,Image 1,1,1,100000000,510000000379,
7,,Segment,2,7,Image 1,4,1,100000000,510000000393,
0,,Segment,2,6,Image 1,4,1,100000000,510000000399,
4,,Segment,2,5,Image 1,4,1,100000000,510000000401,
1,,Segment,2,4,Image 1,2,1,100000000,510000000407,
4,,Segment,2,3,Image 1,3,1,100000000,510000000412,
1,,Segment,2,2,Image 1,3,1,100000000,510000000419,
1,,Segment,2,3,Image 1,2,1,100000000,510000000429,
3,,Segment,2,2,Image 1,2,1,100000000,510000000479,
1,,Segment,2,1,Image 1,1,1,100000000,510000000523,
6,,Segment,2,0,Image 1,1,1,100000000,510000000552,
3,,Segment,2,3,Image 1,3,1,100000000,510000000584,
2,,Segment,2,2,Image 1,1,1,100000000,510000000588,
3,,Segment,2,1,Image 1,2,1,100000001,510000000654,
1,,Segment,2,0,Image 1,1,1,100000001,510000000723,
4,,Segment,2,5,Image 1,1,1,100000001,510000000739,
5,,Segment,2,4,Image 1,1,1,100000001,510000000744,
3,,Segment,2,3,Image 1,1,1,100000001,510000000760,
4,,Segment,2,2,Image 1,1,1,100000001,510000000766,
5,,Segment,2,5,Image 1,2,1,100000001,510000000770,
8,,Segment,2,4,Image 1,2,1,100000001,510000000775,
5,,Segment,2,3,Image 1,2,1,100000001,510000000782,
4,,Segment,2,2,Image 1,2,1,100000001,510000000785,
1,,Segment,2,9,Image 1,5,1,100000000,510000000794,
2,,Segment,2,8,Image 1,4,1,100000000,510000000804,
8,,Segment,2,7,Image 1,3,1,100000000,510000000807,
11,,Segment,2,6,Image 1,3,1,100000000,510000000810,
4,,Segment,2,5,Image 1,2,1,100000000,510000000825,
4,,Segment,2,4,Image 1,2,1,100000000,510000000835,
8,,Segment,2,3,Image 1,2,1,100000000,510000000839,
4,,Segment,2,2,Image 1,1,1,100000000,510000000841,
4,,Segment,2,1,Image 1,1,1,100000000,510000000843,
2,,Segment,2,0,Image 1,1,1,100000000,510000000895,
1,,Segment,2,7,Image 1,2,1,100000000,510000000914,
2,,Segment,2,6,Image 1,2,1,100000000,510000000922,
3,,Segment,2,9,Image 1,4,1,100000000,510000000926,
3,,Segment,2,7,Image 1,4,1,100000000,510000000946,
5,,Segment,2,7,Image 1,3,1,100000000,510000000950,
3,,Segment,2,8,Image 1,3,1,100000000,510000000953,
2,,Segment,2,4,Image 1,3,1,100000000,510000000960,
3,,Segment,2,3,Image 1,2,1,100000000,510000000964,
4,,Segment,2,2,Image 1,2,1,100000002,510000000979,
2,,Segment,2,1,Image 1,1,1,100000002,510000000994,
0,,Segment,2,0,Image 1,1,1,100000002,510000001045,
7,,Segment,2,3,Image 1,2,1,100000002,510000001070,
5,,Segment,2,2,Image 1,1,1,100000002,510000001081,
6,,Segment,2,3,Image 1,1,1,100000002,510000001088,
1,,Segment,2,1,Image 1,2,1,100000002,510000001094,
3,,Segment,2,5,Image 1,4,1,100000000,510000001099,
2,,Segment,2,4,Image 1,3,1,100000000,510000001137,
4,,Segment,2,5,Image 1,3,1,100000000,510000001139,
1,,Segment,2,3,Image 1,2,1,100000002,510000001148,
3,,Segment,2,2,Image 1,1,1,100000002,510000001161,
5,,Segment,2,1,Image 1,1,1,100000002,510000001177,
6,,Segment,2,0,Image 1,1,1,100000002,510000001201,
3,,Segment,2,3,Image 1,2,1,100000000,510000001205,
2,,Segment,2,2,Image 1,1,1,100000000,510000001225,
5,,Segment,2,1,Image 1,1,1,100000000,510000001234,
1,,Segment,2,4,Image 1,1,1,100000000,510000001282,
4,,Segment,2,3,Image 1,1,1,100000000,510000001310,
3,,Segment,2,3,Image 1,3,1,100000000,510000001365,
2,,Segment,2,2,Image 1,2,1,100000000,510000001369,
5,,Segment,2,1,Image 1,2,1,100000000,510000001373,
5,,Segment,2,0,Image 1,1,1,100000000,510000001400,
3,,Segment,2,3,Image 1,1,1,100000001,510000001440,
1,,Segment,2,2,Image 1,1,1,100000001,510000001464,
5,,Segment,2,1,Image 1,1,1,100000001,510000001472,
2,,Segment,2,0,Image 1,1,1,100000001,510000001518,
4,,Segment,2,3,Image 1,1,1,100000000,510000001520,
2,,Segment,2,3,Image 1,1,1,100000002,510000001523,
3,,Segment,2,2,Image 1,2,1,100000002,510000001540,
5,,Segment,2,2,Image 1,2,1,100000000,510000001548,
1,,Segment,2,4,Image 1,3,1,100000000,510000001553,
1,,Segment,2,3,Image 1,3,1,100000000,510000001569,
2,,Segment,2,2,Image 1,3,1,100000000,510000001588,
2,,Segment,2,1,Image 1,2,1,100000000,510000001600,
4,,Segment,2,4,Image 1,2,1,100000000,510000001603,
5,,Segment,2,4,Image 1,4,1,100000000,510000001609,
5,,Segment,2,3,Image 1,2,1,100000001,510000001626,
2,,Segment,2,2,Image 1,2,1,100000001,510000001643,
5,,Segment,2,5,Image 1,3,1,100000000,510000001645,
3,,Segment,2,1,Image 1,2,1,100000002,510000001647,
1,,Segment,2,0,Image 1,1,1,100000002,510000001669,
3,,Segment,2,1,Image 1,2,1,100000001,510000001687,
4,,Segment,2,3,Image 1,4,1,100000000,510000001690,
4,,Segment,2,3,Image 1,3,1,100000000,510000001700,
7,,Segment,2,2,Image 1,2,1,100000000,510000001714,
3,,Segment,2,1,Image 1,2,1,100000000,510000001722,
4,,Segment,2,2,Image 1,3,1,100000000,510000001729,
4,,Segment,2,2,Image 1,2,1,100000000,510000001732,
13,,Segment,2,3,Image 1,2,1,100000000,510000001734,
2,,Segment,2,3,Image 1,2,1,100000000,510000001738,
7,,Segment,2,1,Image 1,1,1,100000000,510000001744,
0,,Segment,2,3,Image 1,1,1,100000000,510000001747,
5,,Segment,2,3,Image 1,2,1,100000000,510000001751,
6,,Segment,2,1,Image 1,2,1,100000000,510000001754,
6,,Segment,2,2,Image 1,2,1,100000000,510000001758,
9,,Segment,2,2,Image 1,2,1,100000000,510000001760,
2,,Segment,2,2,Image 1,1,1,100000000,510000001762,
9,,Segment,2,0,Image 1,1,1,100000002,510000001786,
22,,Segment,2,0,Image 1,1,1,100000000,510000001789,
10,,Segment,2,6,Image 1,4,1,100000000,510000001873,
1,,Segment,2,6,Image 1,5,1,100000000,510000001874,
5,,Segment,2,2,Image 1,1,1,100000000,510000001876,
8,,Segment,2,1,Image 1,1,1,100000001,510000001878,
