
Spine Terminal Pt Intensity Center Ch=2 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
46,,Spine,2,3,Image 1,1,100000000,610000002044,
46,,Spine,2,4,Image 1,1,100000000,610000002048,
35,,Spine,2,1,Image 1,1,100000000,610000002051,
45,,Spine,2,2,Image 1,1,100000000,610000002053,
56,,Spine,2,6,Image 1,1,100000000,610000002055,
129,,Spine,2,3,Image 1,1,,610000002057,
36,,Spine,2,0,Image 1,1,100000000,610000002069,
55,,Spine,2,4,Image 1,1,100000000,610000002071,
52,,Spine,2,1,Image 1,1,100000000,610000002073,
42,,Spine,2,7,Image 1,1,100000000,610000002075,
51,,Spine,2,3,Image 1,1,100000001,610000002077,
50,,Spine,2,0,Image 1,1,100000000,610000002080,
50,,Spine,2,0,Image 1,1,100000001,610000002084,
43,,Spine,2,2,Image 1,1,100000000,610000002086,
45,,Spine,2,2,Image 1,1,100000000,610000002088,
45,,Spine,2,7,Image 1,1,100000000,610000002091,
44,,Spine,2,1,Image 1,1,100000001,610000002094,
129,,Spine,2,3,Image 1,1,,610000002096,
56,,Spine,2,2,Image 1,1,100000002,610000002106,
45,,Spine,2,2,Image 1,1,100000001,610000002108,
44,,Spine,2,0,Image 1,1,100000000,610000002111,
56,,Spine,2,2,Image 1,1,100000000,610000002113,
54,,Spine,2,3,Image 1,1,,610000002117,
81,,Spine,2,2,Image 1,1,100000000,610000002125,
37,,Spine,2,4,Image 1,1,100000000,610000002127,
47,,Spine,2,2,Image 1,1,100000000,610000002129,
39,,Spine,2,0,Image 1,1,100000000,610000002132,
81,,Spine,2,3,Image 1,1,,610000002134,
39,,Spine,2,6,Image 1,1,100000000,610000002141,
61,,Spine,2,3,Image 1,1,100000000,610000002144,
69,,Spine,2,1,Image 1,1,100000000,610000002146,
57,,Spine,2,2,Image 1,1,100000000,610000002148,
80,,Spine,2,3,Image 1,1,100000001,610000002150,
76,,Spine,2,3,Image 1,1,100000001,610000002155,
52,,Spine,2,3,Image 1,1,,610000002157,
63,,Spine,2,2,Image 1,1,100000000,610000002166,
35,,Spine,2,7,Image 1,1,100000000,610000002171,
90,,Spine,2,2,Image 1,1,100000000,610000002179,
99,,Spine,2,3,Image 1,1,,610000002187,
154,,Spine,2,4,Image 1,1,100000000,610000002217,
106,,Spine,2,3,Image 1,1,,610000002269,
58,,Spine,2,0,Image 1,1,,610000002269,
71,,Spine,2,1,Image 1,1,,610000002270,
50,,Spine,2,2,Image 1,1,,610000002271,
34,,Spine,2,4,Image 1,1,,610000002271,
40,,Spine,2,1,Image 1,1,,610000002271,
55,,Spine,2,2,Image 1,1,,610000002272,
67,,Spine,2,3,Image 1,1,,610000002272,
39,,Spine,2,0,Image 1,1,,610000002272,
63,,Spine,2,3,Image 1,1,,610000002273,
65,,Spine,2,1,Image 1,1,,610000002273,
46,,Spine,2,2,Image 1,1,,610000002274,
54,,Spine,2,3,Image 1,1,,610000002275,
135,,Spine,2,0,Image 1,1,,610000002276,
48,,Spine,2,0,Image 1,1,,610000002277,
44,,Spine,2,0,Image 1,1,,610000002278,
18,,Spine,2,1,Image 1,1,,610000002279,
49,,Spine,2,2,Image 1,1,,610000002280,
42,,Spine,2,2,Image 1,1,,610000002281,
46,,Spine,2,2,Image 1,1,,610000002282,
43,,Spine,2,2,Image 1,1,,610000002283,
32,,Spine,2,2,Image 1,1,,610000002284,
52,,Spine,2,2,Image 1,1,,610000002285,
29,,Spine,2,2,Image 1,1,,610000002286,
44,,Spine,2,2,Image 1,1,,610000002287,
94,,Spine,2,4,Image 1,1,,610000002288,
73,,Spine,2,4,Image 1,1,,610000002289,
33,,Spine,2,5,Image 1,1,,610000002290,
39,,Spine,2,4,Image 1,1,,610000002291,
65,,Spine,2,4,Image 1,1,,610000002292,
74,,Spine,2,7,Image 1,1,,610000002293,
89,,Spine,2,0,Image 1,1,,610000002294,
77,,Spine,2,0,Image 1,1,,610000002295,
51,,Spine,2,3,Image 1,1,,610000002296,
37,,Spine,2,3,Image 1,1,,610000002297,
48,,Spine,2,3,Image 1,1,,610000002298,
72,,Spine,2,3,Image 1,1,,610000002299,
81,,Spine,2,3,Image 1,1,,610000002300,
69,,Spine,2,3,Image 1,1,,610000002301,
89,,Spine,2,3,Image 1,1,,610000002302,
