
Soma Center of Image Mass Y
 ==================== 
Soma Center of Image Mass Y,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
19701.2,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19701.2,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19701.2,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19701.2,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19701.2,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000000,800000000,
19699.1,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19699.1,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19699.1,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19699.2,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19699.2,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000001,800000001,
19664.5,µm,Soma,1,Soma Center of Image Mass,Image 1,1,100000002,800000002,
19664.4,µm,Soma,2,Soma Center of Image Mass,Image 1,1,100000002,800000002,
19664.4,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
19663.8,µm,Soma,4,Soma Center of Image Mass,Image 1,1,100000002,800000002,
19663.9,µm,Soma,5,Soma Center of Image Mass,Image 1,1,100000002,800000002,
