
Spine Center Intensity Max Ch=1 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
5,,Spine,1,0,Image 1,1,1,100000001,610000001286,
20,,Spine,1,6,Image 1,4,1,100000001,610000001289,
3,,Spine,1,0,Image 1,1,1,100000001,610000001295,
3,,Spine,1,3,Image 1,4,1,100000001,610000001298,
5,,Spine,1,1,Image 1,1,1,100000002,610000001300,
3,,Spine,1,0,Image 1,1,1,100000002,610000001307,
3,,Spine,1,3,Image 1,2,1,100000002,610000001311,
9,,Spine,1,5,Image 1,3,1,100000001,610000001314,
6,,Spine,1,0,Image 1,1,1,100000001,610000001318,
3,,Spine,1,0,Image 1,1,1,100000002,610000001323,
10,,Spine,1,0,Image 1,1,1,100000001,610000001328,
18,,Spine,1,0,Image 1,1,1,100000001,610000001333,
10,,Spine,1,0,Image 1,1,1,100000002,610000001335,
37,,Spine,1,4,Image 1,4,1,100000001,610000001338,
3,,Spine,1,0,Image 1,1,1,100000002,610000001343,
4,,Spine,1,0,Image 1,1,1,100000002,610000001347,
2,,Spine,1,1,Image 1,1,1,100000002,610000001349,
5,,Spine,1,4,Image 1,3,1,100000001,610000001352,
26,,Spine,1,1,Image 1,2,1,100000001,610000001354,
0,,Spine,1,4,Image 1,3,1,100000001,610000001357,
4,,Spine,1,0,Image 1,1,1,100000001,610000001361,
3,,Spine,1,3,Image 1,1,1,100000001,610000001363,
7,,Spine,1,3,Image 1,1,1,100000001,610000001366,
2,,Spine,1,0,Image 1,1,1,100000002,610000001369,
3,,Spine,1,0,Image 1,1,1,100000001,610000001372,
2,,Spine,1,3,Image 1,2,1,100000002,610000001375,
13,,Spine,1,1,Image 1,2,1,100000001,610000001377,
0,,Spine,1,3,Image 1,2,1,100000001,610000001380,
7,,Spine,1,0,Image 1,1,1,100000001,610000001382,
0,,Spine,1,2,Image 1,1,1,100000001,610000001384,
6,,Spine,1,3,Image 1,1,1,100000001,610000001390,
4,,Spine,1,3,Image 1,2,1,100000002,610000001392,
8,,Spine,1,2,Image 1,1,1,100000001,610000001394,
12,,Spine,1,0,Image 1,1,1,100000001,610000001398,
0,,Spine,1,3,Image 1,4,1,100000001,610000001400,
3,,Spine,1,0,Image 1,1,1,100000002,610000001404,
6,,Spine,1,3,Image 1,1,1,100000001,610000001407,
2,,Spine,1,0,Image 1,1,1,100000001,610000001411,
0,,Spine,1,0,Image 1,1,1,100000000,610000001413,
31,,Spine,1,6,Image 1,3,1,100000001,610000001415,
0,,Spine,1,3,Image 1,1,1,100000001,610000001419,
7,,Spine,1,0,Image 1,1,1,100000001,610000001422,
24,,Spine,1,0,Image 1,1,1,100000001,610000001424,
0,,Spine,1,3,Image 1,1,1,100000001,610000001426,
8,,Spine,1,2,Image 1,1,1,100000002,610000001430,
8,,Spine,1,0,Image 1,1,1,100000002,610000001433,
21,,Spine,1,4,Image 1,4,1,100000001,610000001435,
0,,Spine,1,3,Image 1,1,1,100000001,610000001446,
1,,Spine,1,0,Image 1,1,1,100000002,610000001452,
4,,Spine,1,0,Image 1,1,1,100000001,610000001457,
4,,Spine,1,3,Image 1,1,1,100000001,610000001461,
4,,Spine,1,3,Image 1,3,1,100000000,610000001480,
2,,Spine,1,2,Image 1,2,1,100000000,610000001481,
6,,Spine,1,2,Image 1,2,1,100000000,610000001482,
0,,Spine,1,1,Image 1,1,1,100000000,610000001483,
0,,Spine,1,1,Image 1,1,1,100000000,610000001484,
2,,Spine,1,4,Image 1,3,1,100000001,610000001485,
5,,Spine,1,4,Image 1,4,1,100000001,610000001486,
5,,Spine,1,3,Image 1,2,1,100000001,610000001487,
8,,Spine,1,2,Image 1,1,1,100000001,610000001488,
2,,Spine,1,0,Image 1,1,1,100000001,610000001489,
5,,Spine,1,0,Image 1,1,1,100000001,610000001490,
5,,Spine,1,3,Image 1,1,1,100000001,610000001495,
10,,Spine,1,4,Image 1,2,1,100000001,610000001496,
11,,Spine,1,4,Image 1,2,1,100000001,610000001497,
0,,Spine,1,3,Image 1,2,1,100000001,610000001498,
0,,Spine,1,3,Image 1,2,1,100000001,610000001499,
0,,Spine,1,2,Image 1,1,1,100000001,610000001500,
0,,Spine,1,2,Image 1,2,1,100000001,610000001501,
0,,Spine,1,1,Image 1,1,1,100000001,610000001502,
0,,Spine,1,1,Image 1,1,1,100000001,610000001503,
0,,Spine,1,1,Image 1,1,1,100000001,610000001504,
0,,Spine,1,0,Image 1,1,1,100000001,610000001505,
9,,Spine,1,1,Image 1,2,1,100000001,610000001506,
5,,Spine,1,1,Image 1,2,1,100000001,610000001507,
0,,Spine,1,3,Image 1,4,1,100000001,610000001508,
0,,Spine,1,3,Image 1,3,1,100000001,610000001509,
0,,Spine,1,3,Image 1,3,1,100000001,610000001510,
73,,Spine,1,2,Image 1,2,1,100000001,610000001511,
48,,Spine,1,0,Image 1,1,1,100000001,610000001512,
4,,Spine,1,0,Image 1,1,1,100000001,610000001513,
2,,Spine,1,3,Image 1,2,1,100000002,610000001514,
1,,Spine,1,1,Image 1,2,1,100000002,610000001515,
5,,Spine,1,0,Image 1,1,1,100000002,610000001517,
3,,Spine,1,0,Image 1,1,1,100000002,610000001518,
114,,Spine,1,1,Image 1,2,1,100000002,610000001519,
84,,Spine,1,1,Image 1,2,1,100000002,610000001520,
23,,Spine,1,1,Image 1,2,1,100000002,610000001521,
5,,Spine,1,1,Image 1,2,1,100000002,610000001522,
