
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
26.5313,,Segment,2,0,Image 1,1,1,100000006,510000000003,
29.5625,,Segment,2,0,Image 1,1,1,100000006,510000000006,
44.0312,,Segment,2,0,Image 1,1,1,100000006,510000000009,
50.0312,,Segment,2,0,Image 1,1,1,100000006,510000000015,
24.0625,,Segment,2,0,Image 1,1,1,100000006,510000000021,
21.5039,,Segment,2,0,Image 1,1,1,100000002,510000000185,
30.0625,,Segment,2,0,Image 1,1,1,100000006,510000000200,
65.0156,,Segment,2,0,Image 1,1,1,100000006,510000000208,
22.0312,,Segment,2,0,Image 1,1,1,100000006,510000000222,
46.5625,,Segment,2,5,Image 1,1,1,100000000,510000000331,
41.0625,,Segment,2,4,Image 1,1,1,100000000,510000000342,
25.0312,,Segment,2,3,Image 1,1,1,100000000,510000000370,
25.0625,,Segment,2,2,Image 1,1,1,100000000,510000000387,
51.0625,,Segment,2,1,Image 1,1,1,100000000,510000000401,
38.0625,,Segment,2,0,Image 1,1,1,100000000,510000000421,
31.0625,,Segment,2,5,Image 1,2,1,100000000,510000000439,
25.0156,,Segment,2,4,Image 1,2,1,100000000,510000000442,
23.0312,,Segment,2,3,Image 1,2,1,100000000,510000000448,
33.0625,,Segment,2,0,Image 1,1,1,100000002,510000000488,
39.0625,,Segment,2,2,Image 1,1,1,100000002,510000000528,
34.5312,,Segment,2,1,Image 1,1,1,100000002,510000000537,
66.0312,,Segment,2,0,Image 1,1,1,100000002,510000000545,
64.0625,,Segment,2,1,Image 1,2,1,100000002,510000000575,
20.5625,,Segment,2,2,Image 1,2,1,100000000,510000000578,
31.0312,,Segment,2,3,Image 1,3,1,100000002,510000000582,
38.0156,,Segment,2,3,Image 1,2,1,100000002,510000000585,
30,,Segment,2,0,Image 1,1,1,100000000,510000000601,
37.5312,,Segment,2,1,Image 1,2,1,100000000,510000000631,
36.0625,,Segment,2,0,Image 1,1,1,100000000,510000000687,
49.5156,,Segment,2,2,Image 1,2,1,100000002,510000000883,
22.0156,,Segment,2,0,Image 1,1,1,100000006,510000000910,
