
Segment Intensity Min Ch=3 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,3,0,Image 1,1,1,100000006,510000000003,
0,,Segment,3,0,Image 1,1,1,100000006,510000000006,
0,,Segment,3,0,Image 1,1,1,100000006,510000000009,
0,,Segment,3,0,Image 1,1,1,100000006,510000000015,
0,,Segment,3,0,Image 1,1,1,100000006,510000000021,
0,,Segment,3,0,Image 1,1,1,100000002,510000000185,
0,,Segment,3,0,Image 1,1,1,100000006,510000000200,
0,,Segment,3,0,Image 1,1,1,100000006,510000000208,
0,,Segment,3,0,Image 1,1,1,100000006,510000000222,
0,,Segment,3,5,Image 1,1,1,100000000,510000000331,
0,,Segment,3,4,Image 1,1,1,100000000,510000000342,
0,,Segment,3,3,Image 1,1,1,100000000,510000000370,
0,,Segment,3,2,Image 1,1,1,100000000,510000000387,
0,,Segment,3,1,Image 1,1,1,100000000,510000000401,
0,,Segment,3,0,Image 1,1,1,100000000,510000000421,
0,,Segment,3,5,Image 1,2,1,100000000,510000000439,
0,,Segment,3,4,Image 1,2,1,100000000,510000000442,
0,,Segment,3,3,Image 1,2,1,100000000,510000000448,
0,,Segment,3,0,Image 1,1,1,100000002,510000000488,
0,,Segment,3,2,Image 1,1,1,100000002,510000000528,
0,,Segment,3,1,Image 1,1,1,100000002,510000000537,
0,,Segment,3,0,Image 1,1,1,100000002,510000000545,
0,,Segment,3,1,Image 1,2,1,100000002,510000000575,
0,,Segment,3,2,Image 1,2,1,100000000,510000000578,
0,,Segment,3,3,Image 1,3,1,100000002,510000000582,
0,,Segment,3,3,Image 1,2,1,100000002,510000000585,
0,,Segment,3,0,Image 1,1,1,100000000,510000000601,
0,,Segment,3,1,Image 1,2,1,100000000,510000000631,
0,,Segment,3,0,Image 1,1,1,100000000,510000000687,
0,,Segment,3,2,Image 1,2,1,100000002,510000000883,
0,,Segment,3,0,Image 1,1,1,100000006,510000000910,
