
Segment Number of Voxel Ch=3 Img=1
 ==================== 
Segment Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
63,,Segment,3,0,Image 1,1,1,100000006,510000000003,
74,,Segment,3,0,Image 1,1,1,100000006,510000000006,
204,,Segment,3,0,Image 1,1,1,100000006,510000000009,
166,,Segment,3,0,Image 1,1,1,100000006,510000000015,
744,,Segment,3,0,Image 1,1,1,100000006,510000000021,
166,,Segment,3,0,Image 1,1,1,100000002,510000000185,
210,,Segment,3,0,Image 1,1,1,100000006,510000000200,
231,,Segment,3,0,Image 1,1,1,100000006,510000000208,
135,,Segment,3,0,Image 1,1,1,100000006,510000000222,
1195,,Segment,3,5,Image 1,1,1,100000000,510000000331,
382,,Segment,3,4,Image 1,1,1,100000000,510000000342,
757,,Segment,3,3,Image 1,1,1,100000000,510000000370,
567,,Segment,3,2,Image 1,1,1,100000000,510000000387,
487,,Segment,3,1,Image 1,1,1,100000000,510000000401,
407,,Segment,3,0,Image 1,1,1,100000000,510000000421,
361,,Segment,3,5,Image 1,2,1,100000000,510000000439,
143,,Segment,3,4,Image 1,2,1,100000000,510000000442,
198,,Segment,3,3,Image 1,2,1,100000000,510000000448,
526,,Segment,3,0,Image 1,1,1,100000002,510000000488,
618,,Segment,3,2,Image 1,1,1,100000002,510000000528,
479,,Segment,3,1,Image 1,1,1,100000002,510000000537,
738,,Segment,3,0,Image 1,1,1,100000002,510000000545,
911,,Segment,3,1,Image 1,2,1,100000002,510000000575,
110,,Segment,3,2,Image 1,2,1,100000000,510000000578,
100,,Segment,3,3,Image 1,3,1,100000002,510000000582,
130,,Segment,3,3,Image 1,2,1,100000002,510000000585,
40,,Segment,3,0,Image 1,1,1,100000000,510000000601,
278,,Segment,3,1,Image 1,2,1,100000000,510000000631,
83,,Segment,3,0,Image 1,1,1,100000000,510000000687,
89,,Segment,3,2,Image 1,2,1,100000002,510000000883,
35,,Segment,3,0,Image 1,1,1,100000006,510000000910,
