
Spine Attachment Pt Distance from Origin
 ==================== 
Spine Attachment Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20302.6,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,100000002,610000000778,
20285.3,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000000,610000000785,
20291.3,µm,Spine,Spine Attachment Pt Distance from Origin,,,1,100000006,610000000794,
20288.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000000,610000000797,
20291,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000000,610000000800,
20291,µm,Spine,Spine Attachment Pt Distance from Origin,,,1,100000006,610000000806,
20290.1,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000000,610000000808,
20291.2,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000000,610000000813,
20289.9,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,100000000,610000000815,
20291.1,µm,Spine,Spine Attachment Pt Distance from Origin,,,1,100000006,610000000911,
20286.2,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,,610000000915,
20287.8,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,,610000000916,
20302.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,3,1,,610000000916,
20287.8,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,,610000000917,
20288.8,µm,Spine,Spine Attachment Pt Distance from Origin,4,1,1,,610000000918,
20302.5,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,,610000000918,
20302.2,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,,610000000919,
20289.7,µm,Spine,Spine Attachment Pt Distance from Origin,5,2,1,,610000000919,
20301.7,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000000920,
20291,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,,610000000920,
20299.8,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,,610000000921,
20291.6,µm,Spine,Spine Attachment Pt Distance from Origin,5,1,1,,610000000921,
