
Spine Attachment Pt Time
 ==================== 
Spine Attachment Pt Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,1,2,1,100000002,610000000778,
0,s,Spine,1,1,1,100000000,610000000785,
0,s,Spine,,,1,100000006,610000000794,
0,s,Spine,3,1,1,100000000,610000000797,
0,s,Spine,5,1,1,100000000,610000000800,
0,s,Spine,,,1,100000006,610000000806,
0,s,Spine,5,1,1,100000000,610000000808,
0,s,Spine,5,1,1,100000000,610000000813,
0,s,Spine,5,1,1,100000000,610000000815,
0,s,Spine,,,1,100000006,610000000911,
0,s,Spine,2,1,1,,610000000915,
0,s,Spine,3,1,1,,610000000916,
0,s,Spine,3,3,1,,610000000916,
0,s,Spine,3,1,1,,610000000917,
0,s,Spine,4,1,1,,610000000918,
0,s,Spine,1,2,1,,610000000918,
0,s,Spine,1,2,1,,610000000919,
0,s,Spine,5,2,1,,610000000919,
0,s,Spine,0,1,1,,610000000920,
0,s,Spine,5,1,1,,610000000920,
0,s,Spine,0,1,1,,610000000921,
0,s,Spine,5,1,1,,610000000921,
