
Spine Center Intensity StdDev Ch=2 Img=1
 ==================== 
Spine Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
16.3299,,Spine,2,5,Image 1,1,1,100000000,610000000776,
20.7257,,Spine,2,1,Image 1,2,1,100000002,610000000778,
14.8847,,Spine,2,3,Image 1,1,1,100000000,610000000783,
7.58654,,Spine,2,1,Image 1,1,1,100000000,610000000785,
8.58414,,Spine,2,1,Image 1,2,1,100000006,610000000790,
4.49691,,Spine,2,1,Image 1,2,1,100000006,610000000794,
4.32049,,Spine,2,3,Image 1,1,1,100000000,610000000797,
16.68,,Spine,2,5,Image 1,1,1,100000000,610000000800,
13.1403,,Spine,2,1,Image 1,2,1,100000006,610000000806,
19.9499,,Spine,2,5,Image 1,1,1,100000000,610000000808,
3.5,,Spine,2,5,Image 1,1,1,100000000,610000000811,
20.0721,,Spine,2,5,Image 1,1,1,100000000,610000000813,
33.069,,Spine,2,5,Image 1,1,1,100000000,610000000815,
10.3387,,Spine,2,1,Image 1,2,1,100000002,610000000820,
6,,Spine,2,1,Image 1,2,1,100000002,610000000822,
16.5,,Spine,2,1,Image 1,2,1,100000002,610000000829,
5,,Spine,2,1,Image 1,2,1,100000002,610000000833,
4,,Spine,2,5,Image 1,1,1,100000000,610000000839,
10,,Spine,2,5,Image 1,1,1,100000000,610000000840,
31.5,,Spine,2,5,Image 1,2,1,100000000,610000000841,
9,,Spine,2,4,Image 1,1,1,100000000,610000000842,
2,,Spine,2,3,Image 1,1,1,100000000,610000000843,
4.5,,Spine,2,3,Image 1,1,1,100000000,610000000844,
24.5,,Spine,2,2,Image 1,1,1,100000000,610000000845,
15.5,,Spine,2,0,Image 1,1,1,100000002,610000000888,
15.5,,Spine,2,2,Image 1,1,1,100000002,610000000889,
13,,Spine,2,3,Image 1,3,1,100000002,610000000890,
11.5,,Spine,2,2,Image 1,1,1,100000002,610000000891,
8.5,,Spine,2,1,Image 1,2,1,100000002,610000000892,
18,,Spine,2,1,Image 1,2,1,100000002,610000000893,
6.5,,Spine,2,0,Image 1,1,1,100000002,610000000894,
4,,Spine,2,1,Image 1,2,1,100000004,610000000903,
2.5,,Spine,2,1,Image 1,2,1,100000005,610000000904,
5.5,,Spine,2,1,Image 1,2,1,100000006,610000000911,
