
Spine Intensity Mean Ch=1 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
8.0197,,Spine,1,5,Image 1,1,1,100000000,610000000776,
3.64925,,Spine,1,1,Image 1,2,1,100000002,610000000778,
3.01869,,Spine,1,3,Image 1,1,1,100000000,610000000783,
7.53086,,Spine,1,1,Image 1,1,1,100000000,610000000785,
4.51124,,Spine,1,1,Image 1,2,1,100000006,610000000790,
16.2955,,Spine,1,1,Image 1,2,1,100000006,610000000794,
9.75676,,Spine,1,3,Image 1,1,1,100000000,610000000797,
2.49206,,Spine,1,5,Image 1,1,1,100000000,610000000800,
4.49677,,Spine,1,1,Image 1,2,1,100000006,610000000806,
9.71642,,Spine,1,5,Image 1,1,1,100000000,610000000808,
11.2823,,Spine,1,5,Image 1,1,1,100000000,610000000811,
3.42379,,Spine,1,5,Image 1,1,1,100000000,610000000813,
5.62185,,Spine,1,5,Image 1,1,1,100000000,610000000815,
2.60181,,Spine,1,1,Image 1,2,1,100000002,610000000820,
2.3584,,Spine,1,1,Image 1,2,1,100000002,610000000822,
1.25581,,Spine,1,1,Image 1,2,1,100000002,610000000829,
2.34746,,Spine,1,1,Image 1,2,1,100000002,610000000833,
12.3362,,Spine,1,5,Image 1,1,1,100000000,610000000839,
2.31304,,Spine,1,5,Image 1,1,1,100000000,610000000840,
3.07143,,Spine,1,5,Image 1,2,1,100000000,610000000841,
11.0444,,Spine,1,4,Image 1,1,1,100000000,610000000842,
3.3956,,Spine,1,3,Image 1,1,1,100000000,610000000843,
2.45161,,Spine,1,3,Image 1,1,1,100000000,610000000844,
1.48,,Spine,1,2,Image 1,1,1,100000000,610000000845,
26.3478,,Spine,1,0,Image 1,1,1,100000002,610000000888,
5.61215,,Spine,1,2,Image 1,1,1,100000002,610000000889,
2.77941,,Spine,1,3,Image 1,3,1,100000002,610000000890,
1.7549,,Spine,1,2,Image 1,1,1,100000002,610000000891,
7.03704,,Spine,1,1,Image 1,2,1,100000002,610000000892,
5.24055,,Spine,1,1,Image 1,2,1,100000002,610000000893,
3.85887,,Spine,1,0,Image 1,1,1,100000002,610000000894,
1.125,,Spine,1,1,Image 1,2,1,100000004,610000000903,
1.72,,Spine,1,1,Image 1,2,1,100000005,610000000904,
7.88983,,Spine,1,1,Image 1,2,1,100000006,610000000911,
